"date","year","month","n_scenes","VV_mean","VH_mean","water_frac"
2015-01-01,2015,1,1,-7.7207204634183,-16.8914791102232,0.0881894221391648
2018-01-01,2018,1,6,-11.3378880507073,-17.8054411533343,0.0763829148157835
2019-01-01,2019,1,8,-9.88658823367517,-16.8482256951472,0.087185564447909
2020-01-01,2020,1,6,-9.6446958232274,-16.4991935505889,0.102250971769993
2021-01-01,2021,1,9,-9.87115925889851,-16.5363330249122,0.104475058314331
2022-01-01,2022,1,7,-10.503922075535,-17.673198003208,0.103021215911857
2023-01-01,2023,1,10,-10.0127197768721,-17.019866781937,0.107125380260529
2024-01-01,2024,1,10,-11.7772957790091,-19.5146381364828,0.212124892587133
2017-02-01,2017,2,5,-10.6661950861249,-16.8133116909503,0.113669990290186
2018-02-01,2018,2,5,-10.8547648497434,-17.0659044043709,0.0937035235816798
2019-02-01,2019,2,5,-9.87456903089646,-16.2820368154275,0.0864702660257536
2020-02-01,2020,2,8,-9.80701705317372,-16.5720424132139,0.101062018017515
2021-02-01,2021,2,6,-10.0271235981184,-16.5752436726079,0.106404990140199
2022-02-01,2022,2,8,-10.2845082971546,-16.9664489975205,0.102512625630336
2023-02-01,2023,2,8,-9.75935704981318,-16.6296507588984,0.107644385630201
2024-02-01,2024,2,8,-12.603456007498,-20.1699023434191,0.216174278696753
2017-03-01,2017,3,7,-10.3777576560575,-16.4037501401498,0.111928172878193
2018-03-01,2018,3,8,-10.9138695022956,-16.9002978501808,0.101276200007898
2019-03-01,2019,3,11,-10.3415959257756,-17.2013809049689,0.094121725814588
2020-03-01,2020,3,6,-10.9856292258291,-17.4615293889985,0.10450687605997
2021-03-01,2021,3,8,-9.94560084790094,-16.4816308971819,0.103514162396007
2022-03-01,2022,3,7,-10.3464188871803,-17.1197944015805,0.108459302322514
2023-03-01,2023,3,9,-10.5127062599344,-17.4506030577196,0.166097341110687
2024-03-01,2024,3,10,-12.4139552403644,-19.4742191509916,0.216947618674547
2017-04-01,2017,4,8,-11.1689600107594,-17.0902795687437,0.113639588338882
2018-04-01,2018,4,7,-10.4470227448836,-16.5571827002459,0.0975690500835696
2019-04-01,2019,4,6,-10.7137593341152,-17.2909357139411,0.102729219219448
2020-04-01,2020,4,9,-11.5834899310359,-17.8722886344759,0.107901974454911
2021-04-01,2021,4,7,-10.7536081250453,-17.0747787418151,0.106979618104993
2022-04-01,2022,4,8,-10.1985291016041,-16.7987312657322,0.100983178922836
2023-04-01,2023,4,10,-11.9039427245129,-18.4053273419532,0.214622103985167
2024-04-01,2024,4,10,-12.3819071862341,-19.861032796806,0.218368101548238
2017-05-01,2017,5,7,-11.818761304162,-17.8015114515548,0.126056969079053
2018-05-01,2018,5,8,-11.4468417745197,-17.4409135247405,0.102736634379394
2019-05-01,2019,5,7,-11.1170217841925,-17.5827576354871,0.104825472933732
2020-05-01,2020,5,8,-11.9818188902409,-18.6633915424055,0.120271341190865
2021-05-01,2021,5,9,-10.9614853885305,-17.1517471878286,0.106101389226546
2022-05-01,2022,5,8,-11.3559330754981,-17.6129122177843,0.105289483096126
2023-05-01,2023,5,10,-12.5469165655852,-19.3239497817587,0.219506286883888
2024-05-01,2024,5,8,-13.1997524539473,-20.7316636208495,0.223292607306015
2017-06-01,2017,6,8,-12.2985916200414,-18.560597844462,0.136444912522133
2018-06-01,2018,6,7,-12.3156397628989,-18.5632957839723,0.111463464164011
2019-06-01,2019,6,8,-12.1434644724704,-18.8449644749044,0.122739340547765
2020-06-01,2020,6,7,-12.4593568453607,-19.4315656574099,0.129945811996308
2021-06-01,2021,6,6,-11.5305568888823,-18.0378346539208,0.115264583618444
2022-06-01,2022,6,10,-11.2999340580444,-17.9114418165546,0.107838723310261
2023-06-01,2023,6,10,-13.7017132096853,-20.0922857472766,0.224636323857511
